Name,Main_Muscle,sec_muscle
Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo"
Iso-Lateral Row (Machine),Espalda,"Bíceps, Hombro, Antebrazo"
Lat Pulldown - Close Grip (Cable),Espalda,"Bíceps, Hombro, Antebrazo"
Pullover (Machine),Espalda,"Pectoral, Redondo mayor, Tríceps"
Preacher Curl (Barbell),Bíceps,Antebrazo
Seated Incline Curl (Dumbbell),Bíceps,Antebrazo
Hammer Curl (Dumbbell),Bíceps,Antebrazo
Bench Press (Barbell),Pecho,"Tríceps, Hombro"
Incline Bench Press (Barbell),Pecho,"Tríceps, Hombro"
Lateral Raise (Dumbbell),Hombro,"Trapecio, Manguito Rotador"
Seated Overhead Press (Barbell),Hombro,"Tríceps, Trapecio"
Iso-Lateral Chest Press (Machine),Pecho,"Tríceps, Hombro"
Squat (Smith Machine),Pierna,"Glúteo, Isquiotibiales, Núcleo (Core)"
Deadlift (Barbell),Pierna,"Espalda, Glúteos, Antebrazo"
Hip Thrust (Barbell),Glúteo,"Isquiotibiales, Núcleo (Estabilización)"
Leg Extension (Machine),Pierna,
Seated Leg Curl (Machine),Pierna,Pantorrilla
Hip Adduction (Machine),Pierna,
Standing Leg Curls,Pierna,"Glúteos, Gemelos"
Hip Abduction (Machine),Glúteo,Cadera
Bulgarian Split Squat,Pierna,"Glúteos, Core, Isquiotibiales"
Pendulum Squat (Machine),Pierna,"Glúteos, Isquiotibiales"
T Bar Row,Espalda,"Bíceps, Hombro, Antebrazo"
Treadmill,Cardio,
Incline Bench Press (Dumbbell),Pecho,"Hombro, Tríceps"
Single Arm Tricep Extension (Dumbbell),Tríceps,"Hombro, Antebrazo"
Plate Front Raise,Hombro,"Trapecio, Pecho"
Lying Leg Raise,Abdomen,"Flexores de Cadera, Pierna"
Seated Palms Up Wrist Curl,Antebrazo,
Seated Cable Row - Bar Grip,Espalda,"Bíceps, Hombro, Antebrazo"
Crunch (Machine),Abdomen,Oblicuos
Iso-Lateral High Row (Machine),Espalda,"Bíceps, Hombro, Antebrazo"
Triceps Dip,Tríceps,"Pecho, Hombro"
Stair Machine (Floors),Pierna,"Glúteo, Isquiotibiales, Pantorrilla, Core"
Reverse Fly Single Arm (Cable),Hombro,"Espalda, Manguito Rotador"
Plank,Abdomen,"Glúteo, Hombro, Cuádriceps"
Decline Bench Press (Barbell),Pecho,"Tríceps, Hombro"
Chest Fly (Machine),Pecho,Hombro
Lateral Raise (Machine),Hombro,"Trapecio, Manguito rotador"
Bent Over Row (Barbell),Espalda,"Bíceps, Hombro, Antebrazo"
Rear Delt Reverse Fly (Machine),Hombro,"Trapecio, Espalda superior"
Hack Squat (Machine),Pierna,"Glúteos, Isquiotibiales, Aductores"
Hip Thrust (Machine),Glúteo,"Isquiotibiales, Core"
Calf Extension (Machine),Pierna,
Seated Dip Machine,Tríceps,"Pecho, Hombro"
Seated Shoulder Press (Machine),Hombro,"Tríceps, Pecho"
Bicep Curl (Machine),Bíceps,Antebrazo
Rear Delt Reverse Fly (Cable),Hombro,Espalda
Shrug (Dumbbell),Espalda,Hombro
Leg Press Horizontal (Machine),Pierna,"Glúteos, Isquiotibiales"
Chin Up,Espalda,"Bíceps, Antebrazo, Hombro"
Leg Press (Machine),Pierna,"Glúteo, Isquiotibiales"
Hammer Curl (Cable),Bíceps,Antebrazo
Lunge (Dumbbell),Pierna,"Glúteos, Isquiotibiales, Core"
Chest Press (Machine),Pecho,"Tríceps, Hombro"
Leg Raise Parallel Bars,Abdomen,"Flexores de Cadera, Oblicuos"
Hanging Leg Raise,Abdomen,"Flexores de Cadera, Antebrazo"
Mountain Climber,Abdomen,"Cadera (Flexores), Hombro, Pierna"
Lat Pulldown (Machine),Espalda,"Bíceps, Hombro, Antebrazo"
Glute Kickback (Machine),Pierna,Isquiotibiales
Chest Fly (Dumbbell),Pecho,Hombro
Crunch,Abdomen,Núcleo
Push Up,Pecho,"Tríceps, Hombro, Core (Estabilizadores)"
Crunch (Weighted),Abdomen,"Core, Flexores de cadera"
Seated Wrist Extension (Barbell),Antebrazo,
Farmers Walk,Espalda,"Antebrazo, Abdominales, Hombro"
Reverse Curl (Barbell),Antebrazo,Brazo
Incline Chest Fly (Dumbbell),Pecho,Hombro
Single Arm Lateral Raise (Cable),Hombro,"Trapecio, Core, Antebrazo"
Chin Up (Assisted),Espalda,"Bíceps, Hombro, Antebrazo"
Triceps Dip (Assisted),Tríceps,"Pectoral, Hombro"
Russian Twist (Weighted),Abdomen,"Flexores de la cadera, Espalda baja"
Elliptical Trainer,Pierna,"Glúteos, Hombro, Espalda, Core"
Side Plank,Abdomen,"Glúteos, Hombro, Espalda baja"
Front Raise (Dumbbell),Hombro,"Trapecio, Pectoral"
Stair Machine,Pierna,"Glúteos, Pantorrillas, Core"
Lying Leg Curl (Machine),Pierna,Gemelos
Air Bike,Cardio,
Jackknife Sit Up,Abdomen,"Flexores de la Cadera, Oblicuos"
Reverse Curl (Cable),Antebrazo,"Braquial, Bíceps"
Rope Straight Arm Pulldown,Espalda,"Hombro, Tríceps, Core"
Bicep Curl (Barbell),Bíceps,Antebrazo
Sit Up,Abdomen,"Flexores de la cadera, Oblicuos"
Bench Press (Smith Machine),Pecho,"Tríceps, Hombro"
Back Extension (Machine),Espalda,"Glúteos, Isquiotibiales"
Pull Up (Assisted),Espalda,"Bíceps, Hombro, Antebrazo"
Butterfly (Pec Deck),Pecho,Hombro
Hanging Knee Raise,Abdomen,"Flexores de la cadera, Antebrazo"
zumba,Cardio,
Bench Press (Dumbbell),Pecho,"Tríceps, Hombro"
Single Arm Lat Pulldown,Espalda,"Bíceps, Hombro, Antebrazo"
Skullcrusher (Barbell),Tríceps,"Hombro, Antebrazo"
EZ Bar Biceps Curl,Bíceps,Antebrazo
Spider Curl (Dumbbell),Bíceps,Antebrazo
Triceps Extension (Dumbbell),Tríceps,"Hombro, Antebrazo"
Knee Raise Parallel Bars,Abdomen,"Flexores de cadera, Hombro, Estabilizadores del torso"
Cycling,Pierna,"Glúteos, Isquiotibiales, Pantorrilla"
Squat (Bodyweight),Pierna,"Glúteo, Core, Isquiotibiales"
Rope Cable Curl,Bíceps,Antebrazo
Cross Body Hammer Curl,Bíceps,Antebrazo
V Up,Abdomen,"Flexores de la cadera, Cuádriceps"
Spiderman,Pecho,"Tríceps, Hombro, Core"
Back Extension (Weighted Hyperextension),Espalda,"Glúteos, Isquiotibiales"
Deadlift (Dumbbell),Pierna,"Espalda, Glúteos, Antebrazo"
Reverse Crunch,Abdomen,Flexores de la cadera
Estiramiento Cobrs,Espalda,"Abdomen, Pecho, Hombro"
Single Leg Glute Bridge,Glúteo,"Isquiotibiales, Core"
Jump Squat,Pierna,"Glúteos, Isquiotibiales, Core"
Lunge,Pierna,"Glúteos, Isquiotibiales, Núcleo"
Pike Pushup,Hombro,"Tríceps, Pecho, Core"
Triceps Pushdown,Tríceps,Antebrazo
Cable Fly Crossovers,Pecho,Hombro
Straight Arm Lat Pulldown (Cable),Espalda,"Hombro, Tríceps, Core"
Pull Up,Espalda,"Bíceps, Hombro, Antebrazo"
Seated Cable Row - V Grip (Cable),Espalda,"Bíceps, Hombro, Antebrazo"
Preacher Curl (Machine),Bíceps,Antebrazo
Triceps Rope Pushdown,Tríceps,"Antebrazo, Hombro"
Deadlift (Smith Machine),Espalda,"Glúteos, Isquiotibiales, Trapecios, Antebrazo"
Face Pull,Hombro,"Espalda, Bíceps"
Seated Calf Raise,Pierna,Tibial posterior
Bicep Curl (Cable),Bíceps,Antebrazo
Ab Wheel,Abdomen,"Hombro, Espalda baja, Flexores de cadera"
Bicycle Crunch,Abdomen,Flexores de Cadera
Dumbbell Row,Espalda,"Bíceps, Hombro, Antebrazo"
Decline Crunch (Weighted),Abdomen,"Oblicuos, Flexores de cadera"
Shoulder Press (Dumbbell),Hombro,"Tríceps, Trapecio"
Skullcrusher (Dumbbell),Tríceps,Antebrazo
Rear Delt Reverse Fly (Dumbbell),Hombro,"Espalda alta, Trapecio, Romboides"
Decline Crunch,Abdomen,Flexores de la cadera
Landmine Row,Espalda,"Bíceps, Hombro, Antebrazo"
Triceps Extension (Cable),Tríceps,"Antebrazo, Hombro"
Kettlebell Goblet Squat,Pierna,"Glúteos, Tronco, Espalda"
Heel Taps,Abdomen,Oblicuos
Decline Bench Press (Machine),Pecho,"Tríceps, Deltoides anterior"
Cable Core Palloff Press,Abdomen,"Oblicuos, Glúteos, Hombros (Estabilización)"
Hollow Rock,Abdomen,"Flexores de la Cadera, Estabilizadores de la Parte Superior de la Espalda, Hombros"
